BCI-AV#,English,POS,Derivation - explanation,WinBliss
24678,indicator_(second_person)_(OLD),GRAY,"(two_(digit) [quarter-sized]: may be placed above a symbol to show that it is representing a verb or other word in second person form in a natural language.) Used restrictively, primarily for language teaching purposes. - Character (indicator)",Y#13#1#0#0#4#5#5##0#4*%£
24679,indicator_(third_person)_(OLD),GRAY,"(three_(digit) [quarter-sized]: may be placed above a symbol to show that it is representing a verb or other word in third person form in a natural language.) Used restrictively, primarily for language teaching purposes. - Character (indicator)",Y#14#1#0#0#4#7#5##0#4*%£
24714,portability,YELLOW,"(container + forward [modification, short arrow]) - Character (superimposed - modified)",J#1#3#0#0#12#25#13##0#4*&W#2#1#0#8#12#37#13##0#4*&R#2#2#0#10#10#39#11##0#4*%£
24717,"potty,chamber_pot,bedpan",YELLOW,(container + pictograph of a handle) - Character (superimposed),J#1#3#0#0#12#17#13##0#4*&K#7#2#0#7#12#24#13##0#4*%£
24726,"receiver,dish",YELLOW,(pictograph) - Character,K#2#4#0#0#12#19#13##0#4*%£
24727,"acquiring,getting,receiving",YELLOW,(down + container: drawing into what one holds) - Character (superimposed),J#1#3#0#0#12#11#13##0#4*&F#1#3#0#2#8#13#9##0#4*%£
24739,satellite,YELLOW,(planet [half-sized]) - Character,W#4#1#0#0#12#33#13##0#4*&H#2#1#0#2#10#19#11##0#4*%£
24750,"signal,broadcast,transmitting",YELLOW,(pictograph: as of waves spreading in water) - Character,K#5#2#0#0#11#52#12##0#4*&K#3#2#0#1#8#25#9##0#4*&K#4#2#0#1#10#35#11##0#4*%£
24761,"step,stair",YELLOW,"(stairs + pointer, to step) - Character (superimposed - pointer)",R#2#3#0#0#9#32#10##0#4*&W#2#1#0#1#12#23#13##0#4*&W#2#2#0#1#12#23#13##0#4*&W#2#1#0#5#8#27#9##0#4*&W#2#2#0#5#8#27#9##0#4*%£
24778,"water_flower,water_lily",YELLOW,(flower + water) - Character (superimposed),A#1#2#0#0#11#33#12##0#4*&H#2#1#0#2#8#19#9##0#4*&W#2#2#0#4#12#21#13##0#4*%£
24801,bear's_head,YELLOW,(pictograph: of a bear's head) - Character,H#1#1#0#0#8#36#9##0#4*&H#3#1#0#1#8#37#9##0#4*&Q#1#1#0#3#12#39#13##0#4*&Q#1#1#0#5#14#41#15##0#4*&Q#1#1#0#7#12#43#13##0#4*&H#1#1#0#8#8#44#9##0#4*%£
24805,jump_(backward),YELLOW,"(curved line + arrowhead: curved arrow, backward, indicating the path of a backward jump) - Character",R#2#3#0#0#14#29#15##0#4*&J#1#1#0#2#12#31#13##0#4*%£
24806,"scale,measurement",YELLOW,"(height,tallness + lowness,shortness_(height): combination of high,tall and short ) - Character (superimposed - combined)",W#2#1#0#0#8#31#9##0#4*&W#2#1#0#0#12#31#13##0#4*&W#2#1#0#0#16#31#17##0#4*&W#4#2#0#2#8#33#9##0#4*%£
24807,indicator_(present_action),GRAY,"(indicator_(past_action) + indicator_(future_action): may be placed above a symbol to show that it is representing a verb in present action form in a natural language) Used restrictively, primarily for language teaching purposes. - Character (superimposed - indicator)",K#5#2#0#0#4#7#5##0#4*&K#5#4#0#1#4#9#5##0#4*%£
24825,"push,pushing",YELLOW,(forward + thing: the forward moving arrow seems to be pushing the thing) - Character (superimposed),F#1#2#0#0#10#21#11##0#4*&L#2#1#0#8#10#29#11##0#4*%£
24833,"wish,desire",YELLOW,"(mind + fire: a rational desire, a strong feeling shown by fire) See also: want,desire 24834 - Character (superimposed)",J#1#1#0#0#8#11#9##0#4*&A#1#1#0#3#8#14#9##0#4*%£
24846,observation,YELLOW,(mind + eye: to look at something thoughtfully) - Character (superimposed),J#1#1#0#0#8#5#9##0#4*&H#2#1#0#2#10#7#9##0#4*&Q#1#1#0#4#12#9#13##0#4*%£
24847,"usage,use",YELLOW,(mind + tool: rational manipulation of a tool) - Character (superimposed),J#1#1#0#0#8#31#9##0#4*&V#9#3#0#0#8#31#9##0#4*&L#2#1#0#2#10#33#11##0#4*%£
24852,"break,fracture,injury,damage",YELLOW,(horizontal line [broken]) - Character,W#2#1#0#0#12#27#13##0#4*&W#6#1#0#4#12#31#13##0#4*%£
24855,"fight,combat",YELLOW,"(hand [modification, at an angle] + hand [modification, mirrored at an angle]: crossing hands, symbol represents physical conflict but may be used in a general sense to represent any sort of conflict or struggle) - Character (superimposed - modified)",W#2#2#0#0#12#31#13##0#4*&W#8#1#0#0#8#31#9##0#4*&W#8#2#0#0#8#31#9##0#4*&W#2#2#0#8#12#39#13##0#4*%£
24859,visit,YELLOW,(forward + house: can be understood as a combination of house and to enter) - Character (superimposed),F#1#2#0#0#10#27#11##0#4*&D#1#1#0#4#8#31#7##0#4*%£
24875,"bigness,largeness",YELLOW,(vertical line bounded by two horizontal reference lines [half-sized]: the vertical line extends to the biggest possible size within the symbol square) - Character,S#1#1#0#0#8#21#9##0#4*&W#2#1#0#0#8#21#9##0#4*%£
24879,comparative_more,WHITE,"(horizontal reference line [modification, half-sized on midline] + much,many,very [modification, higher position]: much, many on a higher level) - Character (superimposed - modified)",T#4#1#0#0#8#29#9##0#4*&W#2#1#0#0#12#29#13##0#4*%£
24880,"consideration,thoughtfulness",YELLOW,(mind + other: mindfulness of others) - Character (superimposed),J#1#1#0#0#8#31#9##0#4*&W#4#2#0#4#8#35#9##0#4*&Y#3#1#0#6#12#39#13##0#4*%£
24883,"deletion,cancellation,destruction",YELLOW,(diagonal line used to cross out something: in the top-right to bottom left orientation) - Character,W#8#2#0#0#8#31#9##0#4*%£
24884,difficulty,YELLOW,"(forward + reference line [modification, the line has an opening]: the forward arrow is halted at the reference line as by a difficulty passing through the opening) - Character (superimposed - modified)",F#1#2#0#0#10#13#11##0#4*&W#1#2#0#8#8#21#9##0#4*&W#1#2#0#8#14#21#15##0#4*%£
24887,"dispersion,dissemination,scattering,spread,spreading",YELLOW,"(backward + upward + downward + forward [modification, short arrows]: the four arrows pointing outward from each other, i.e. spreading out) - Character (superimposed - modified)",R#2#4#0#0#10#17#11##0#4*&W#2#1#0#0#12#17#13##0#4*&R#2#1#0#4#6#25#5##0#4*&R#2#3#0#4#16#21#15##0#4*&W#2#2#0#6#6#23#7##0#4*&W#2#2#0#6#14#23#13##0#4*&W#2#1#0#8#12#25#13##0#4*&R#2#2#0#10#10#27#11##0#4*%£
24889,earmuffs_(general),YELLOW,(pictograph) - Character,H#2#1#0#0#12#23#13##0#4*&J#1#1#0#2#8#25#9##0#4*&H#2#1#0#8#12#31#13##0#4*%£
24890,"ease,easiness,simplicity",YELLOW,"(forward + reference line [modification, the line has an opening]: the forward arrow easily passing through the broken reference line) - Character (superimposed - modified)",F#1#2#0#0#10#13#11##0#4*&W#1#2#0#4#8#17#9##0#4*&W#1#2#0#4#14#17#15##0#4*%£
24891,"emptying,voidance,evacuation",YELLOW,"(container + jump [modification, higher position]: the curved forward arrow representing content moving out of the container) - Character (superimposed - modified)",J#1#3#0#0#12#9#13##0#4*&J#1#1#0#4#10#37#11##0#4*&R#2#3#0#10#12#43#13##0#4*%£
24895,"fantasy,phantasy,imagination,illusion",YELLOW,"(being_(state_of) [modification, high position over the skyline] + sky: imaginary existence up the sky, or up in the clouds) - Character (superimposed - modified)",W#4#1#0#0#8#7#9##0#4*&H#2#1#0#2#4#9#5##0#4*&W#2#2#0#4#4#11#5##0#4*%£
24896,"farness,remoteness,farawayness_(OLD)",YELLOW,"(reference line [half-sized + reference line [half-sized]]: with a full square between them, the lines are relatively far apart) See also: nearness,closeness,proximity 25586 - Character (sequenced) SUPERSEDED SYNONYM and SUPERSEDED CHARACTER See farness,remoteness,farawayness 25559",W#2#2#0#0#10#5#11##0#4*&W#2#2#0#8#10#13#11##0#4*%£
24897,"filling,fill,fullness",YELLOW,"(container + horizontal line: the container is closed over, as if filled up) - Character (superimposed)",J#1#3#0#0#12#33#13##0#4*&W#4#1#0#0#12#33#13##0#4*%£
24899,"forgetting,amnesia",YELLOW,(knowledge + forward: combination of knowledge and out of) - Character (superimposed),J#1#1#0#0#8#13#9##0#4*&O#1#3#0#0#12#13#13##0#4*&F#1#2#0#4#10#37#11##0#4*%£
24903,"giving,gift",YELLOW,(up + container: drawing from what one holds) - Character (superimposed),J#1#3#0#0#12#11#13##0#4*&F#1#1#0#2#8#13#9##0#4*%£
24904,"grid,matrix",YELLOW,"(enclosure + pictograph, of a matrix grid) - Character (superimposed)",C#1#1#0#0#8#29#11##0#4*&L#1#1#0#0#8#29#9##0#4*&W#4#1#0#0#12#29#13##0#4*&W#4#2#0#4#8#33#9##0#4*%£
24906,"half,one-half",WHITE,"(one_(digit),1 [modification, higher position] + slash (slanted line) + two_(digit),2: a common way to write 1/2) - Character (superimposed - modified)",Y#2#1#0#0#8#31#9##0#4*&W#9#1#0#2#8#33#9##0#4*&Y#3#1#0#6#12#37#13##0#4*%£
24909,"height,tallness",YELLOW,"(two horizontal reference lines [half-sized]: the space between the reference lines is the highest possible within the symbol square) See also: lowness,shortness_(height) 24918. - Character (superimposed)",W#2#1#0#0#8#25#9##0#4*&W#2#1#0#0#16#25#17##0#4*%£
24912,holding,YELLOW,"(plus_sign_(low) + earth,ground,land [half-sized]: ownership,possession [half-sized], something in one's possession without necessarily being owned) - Character (superimposed)",T#2#1#0#0#12#33#13##0#4*&W#2#1#0#0#16#33#17##0#4*%£
24913,"importance,significance",YELLOW,"(interest [modification, intensity moved to the left to make room for another one] + intensity: of intense interest) - Character (superimposed - modified)",J#1#1#0#0#8#19#9##0#4*&Y#22#1#0#3#10#36#11##0#4*&Y#22#1#0#5#10#38#11##0#4*%£
24916,interest,YELLOW,(mind + intensity: engaging the mind) - Character (superimposed),J#1#1#0#0#8#29#9##0#4*&Y#22#1#0#4#10#33#11##0#4*%£
24917,"littleness,smallness",YELLOW,"(vertical line [half-sized] bounded by two horizontal reference lines [half-sized]: the vertical line is relatively little) See also: bigness,largeness 24875. - Character (superimposed)",S#3#1#0#0#12#25#13##0#4*&W#2#1#0#0#12#25#13##0#4*%£
24918,"lowness,shortness_(height)",YELLOW,"(two horizontal reference lines [half-sized]: the space between the reference lines is relatively low) See also: height,tallness 24909. - Character (superimposed)",W#2#1#0#0#12#5#13##0#4*&W#2#1#0#0#16#5#17##0#4*%£
24920,"medicine,medical_practice",YELLOW,"(symbol suggests a modified caduceus (modeled after the staff with a snake - of Hermes), the traditional medical symbol) - Character",A#1#3#0#0#8#11#9##0#4*&W#4#2#0#1#8#12#9##0#4*%£
24925,"ownership,possession",YELLOW,"(addition + earth: CKB writes ""an addition, a gain, a plus of some very earthly (material) thing”) - Character (superimposed)",W#4#1#0#0#12#33#13##0#4*&W#4#1#0#0#16#33#17##0#4*&W#4#2#0#4#8#37#9##0#4*%£
24926,"permission,allowance",YELLOW,(mind + through: CKB says that the symbol represents a thought that is allowed to pass through a mental barrier) - Character (superimposed),F#1#2#0#0#10#27#11##0#4*&J#1#1#0#0#8#27#9##0#4*&W#4#2#0#4#8#31#9##0#4*%£
24927,persuasion,YELLOW,"(leadership + agreement [modification, short arrows] [combination]: leadership to agreement) - Character (superimposed - modified - combined)",J#1#1#0#0#8#29#9##0#4*&W#2#1#0#8#12#37#13##0#4*&W#2#1#0#8#16#37#17##0#4*&R#2#2#0#10#10#39#11##0#4*&R#2#2#0#10#14#39#15##0#4*%£
24932,"quarter,one_quarter",WHITE,"(one_(digit),1 [modification, higher position] + slash (slanted line) + four_(digit),4: a common way to write 1/4) - Character (superimposed - modified)",Y#2#1#0#0#8#31#9##0#4*&W#9#1#0#2#8#33#9##0#4*&Y#5#1#0#6#12#39#13##0#4*%£
24934,"repetition,copying,duplication,replication",YELLOW,"(line,stripe + line,stripe + action indicator: the vertical line is repeated) - Character (sequenced)",W#4#2#0#0#8#29#9##0#4*&W#4#2#0#4#8#33#9##0#4*%£
24937,"selfishness,egoism",YELLOW,(mind + self: thinking only about oneself) - Character (superimposed),J#1#1#0#0#8#33#9##0#4*&Y#2#1#0#1#12#34#13##0#4*&W#4#2#0#4#8#37#9##0#4*%£
