BCI-AV#,English,POS,Derivation - explanation,WinBliss
8483,exclamation_mark,WHITE,(punctuation mark - 1. used as punctuation in symbol sentences; 2. used to indicate that the symbol statement that follows it is in the imperative form) - Character,Q#1#1#0#0#16#37#17##0#4*&W#3#2#0#0#8#37#9##0#4*%£
8484,"percent,percentage,%",YELLOW,(international mathematical symbol) - Character,H#1#1#0#0#8#33#9##0#4*&W#9#1#0#0#8#33#9##0#4*&H#1#1#0#2#14#35#15##0#4*%£
8485,question_mark,YELLOW,(punctuation mark - used as punctuation in symbol sentences) - Character,K#1#1#0#0#8#33#9##0#4*&K#1#2#0#2#8#35#9##0#4*&Q#1#1#0#2#16#35#17##0#4*&W#1#2#0#2#12#35#13##0#4*%£
8486,"period,point,full_stop,decimal_point",WHITE,(punctuation mark - 1. used as punctuation in symbol sentences; 2. international mathematical symbol) - Character,Q#1#1#0#0#16#29#17##0#4*%£
8487,comma,WHITE,"(punctuation mark - 1. used as punctuation in symbol sentences; 2. used to divide component parts of compound and combined symbols, in order to clarify meaning) - Character",Y#21#1#0#0#16#31#17##0#4*%£
8488,colon,WHITE,(punctuation mark) - Character,Q#1#1#0#0#14#31#15##0#4*&Q#1#1#0#0#16#31#17##0#4*%£
8489,apostrophe,WHITE,(punctuation mark) - Character,Y#21#1#0#0#8#41#9##0#4*%£
8490,degree,WHITE,(punctuation mark) - Character,H#1#1#0#0#8#41#9##0#4*%£
8496,"zero_(digit),0",WHITE,(Arabic numeral 0) - Character,Y#1#1#0#0#12#31#13##0#4*%£
8497,"one_(digit),1,modifier_(first_person)",WHITE,(Arabic numeral 1) - Character,Y#2#1#0#0#12#35#13##0#4*%£
8498,"two_(digit),2,modifier_(second_person)",WHITE,(Arabic numeral 2) - Character,Y#3#1#0#0#12#33#13##0#4*%£
8499,"three_(digit),3,modifier_(third_person)",WHITE,(Arabic numeral 3) - Character,Y#4#1#0#0#12#35#13##0#4*%£
8500,"four_(digit),4",WHITE,(Arabic numeral 4) - Character,Y#5#1#0#0#12#35#13##0#4*%£
8501,"five_(digit),5",WHITE,(Arabic numeral 5) - Character,Y#6#1#0#0#12#33#13##0#4*%£
8502,"six_(digit),6",WHITE,(Arabic numeral 6) - Character,Y#7#1#0#0#12#35#13##0#4*%£
8503,"seven_(digit),7",WHITE,(Arabic numeral 7) - Character,Y#8#1#0#0#12#29#13##0#4*%£
8504,"eight_(digit),8",WHITE,(Arabic numeral 8) - Character,Y#9#1#0#0#12#35#13##0#4*%£
8505,"nine_(digit),9",WHITE,(Arabic numeral 9) - Character,Y#10#1#0#0#12#33#13##0#4*%£
8510,zero_(index_number),WHITE,(Arabic numeral 0 - small) - Character,Y#11#1#0#0#14#35#15##0#4*%£
8511,one_(index_number),WHITE,(Arabic numeral 1 - small) - Character,Y#12#1#0#0#14#35#15##0#4*%£
8512,two_(index_number),WHITE,(Arabic numeral 2 - small) - Character,Y#13#1#0#0#14#35#15##0#4*%£
8513,three_(index_number),WHITE,(Arabic numeral 3 - small) - Character,Y#14#1#0#0#14#35#15##0#4*%£
8514,four_(index_number),WHITE,(Arabic numeral 4 - small) - Character,Y#15#1#0#0#14#35#15##0#4*%£
8515,five_(index_number),WHITE,(Arabic numeral 5 - small) - Character,Y#16#1#0#0#14#35#15##0#4*%£
8516,six_(index_number),WHITE,(Arabic numeral 6 - small) - Character,Y#17#1#0#0#14#35#15##0#4*%£
8517,seven_(index_number),WHITE,(Arabic numeral 7 - small) - Character,Y#18#1#0#0#14#35#15##0#4*%£
8518,eight_(index_number),WHITE,(Arabic numeral 8 - small) - Character,Y#19#1#0#0#14#35#15##0#4*%£
8519,nine_(index_number),WHITE,(Arabic numeral 9 - small) - Character,Y#20#1#0#0#14#37#15##0#4*%£
8521,a_(lowercase),WHITE,(Latin English lowercase letter a) - Character,Z#1#1#0#0#10#35#11#a#0#6*%£
8522,b_(lowercase),WHITE,(Latin English lowercase letter b) - Character,Z#1#1#0#0#10#35#11#b#0#6*%£
8523,c_(lowercase),WHITE,(Latin English lowercase letter c) - Character,Z#1#1#0#0#10#35#11#c#0#6*%£
8524,d_(lowercase),WHITE,(Latin English lowercase letter d) - Character,Z#1#1#0#0#10#35#11#d#0#6*%£
8525,e_(lowercase),WHITE,(Latin English lowercase letter e) - Character,Z#1#1#0#0#10#35#11#e#0#6*%£
8526,f_(lowercase),WHITE,(Latin English lowercase letter f) - Character,Z#1#1#0#0#10#35#11#f#0#6*%£
8527,g_(lowercase),WHITE,(Latin English lowercase letter g) - Character,Z#1#1#0#0#10#35#11#g#0#6*%£
8528,h_(lowercase),WHITE,(Latin English lowercase letter h) - Character,Z#1#1#0#0#10#35#11#h#0#6*%£
8529,i_(lowercase),WHITE,(Latin English lowercase letter i) - Character,Z#1#1#0#0#10#35#11#i#0#6*%£
8530,j_(lowercase),WHITE,(Latin English lowercase letter j) - Character,Z#1#1#0#0#10#35#11#j#0#6*%£
8531,k_(lowercase),WHITE,(Latin English lowercase letter k) - Character,Z#1#1#0#0#10#35#11#k#0#6*%£
8532,l_(lowercase),WHITE,(Latin English lowercase letter l) - Character,Z#1#1#0#0#10#35#11#l#0#6*%£
8533,m_(lowercase),WHITE,(Latin English lowercase letter m) - Character,Z#1#1#0#0#10#35#11#m#0#6*%£
8534,n_(lowercase),WHITE,(Latin English lowercase letter n) - Character,Z#1#1#0#0#10#35#11#n#0#6*%£
8535,o_(lowercase),WHITE,(Latin English lowercase letter o) - Character,Z#1#1#0#0#10#35#11#o#0#6*%£
8536,p_(lowercase),WHITE,(Latin English lowercase letter p) - Character,Z#1#1#0#0#10#35#11#p#0#6*%£
8537,q_(lowercase),WHITE,(Latin English lowercase letter q) - Character,Z#1#1#0#0#10#35#11#q#0#6*%£
8538,r_(lowercase),WHITE,(Latin English lowercase letter r) - Character,Z#1#1#0#0#10#35#11#r#0#6*%£
8539,s_(lowercase),WHITE,(Latin English lowercase letter s) - Character,Z#1#1#0#0#10#35#11#s#0#6*%£
8540,t_(lowercase),WHITE,(Latin English lowercase letter t) - Character,Z#1#1#0#0#10#35#11#t#0#6*%£
8541,u_(lowercase),WHITE,(Latin English lowercase letter u) - Character,Z#1#1#0#0#10#35#11#u#0#6*%£
8542,v_(lowercase),WHITE,(Latin English lowercase letter v) - Character,Z#1#1#0#0#10#35#11#v#0#6*%£
8543,w_(lowercase),WHITE,(Latin English lowercase letter w) - Character,Z#1#1#0#0#10#35#11#w#0#6*%£
8544,x_(lowercase),WHITE,(Latin English lowercase letter x) - Character,Z#1#1#0#0#10#35#11#x#0#6*%£
8545,y_(lowercase),WHITE,(Latin English lowercase letter y) - Character,Z#1#1#0#0#10#35#11#y#0#6*%£
8546,z_(lowercase),WHITE,(Latin English lowercase letter z) - Character,Z#1#1#0#0#10#35#11#z#0#6*%£
8551,A_(uppercase),WHITE,(Latin English uppercase letter A) - Character,Z#1#1#0#0#10#35#11#A#0#6*%£
8552,B_(uppercase),WHITE,(Latin English uppercase letter B) - Character,Z#1#1#0#0#10#35#11#B#0#6*%£
8553,C_(uppercase),WHITE,(Latin English uppercase letter C) - Character,Z#1#1#0#0#10#35#11#C#0#6*%£
8554,D_(uppercase),WHITE,(Latin English uppercase letter D) - Character,Z#1#1#0#0#10#35#11#D#0#6*%£
8555,E_(uppercase),WHITE,(Latin English uppercase letter E) - Character,Z#1#1#0#0#10#35#11#E#0#6*%£
8556,F_(uppercase),WHITE,(Latin English uppercase letter F) - Character,Z#1#1#0#0#10#35#11#F#0#6*%£
8557,G_(uppercase),WHITE,(Latin English uppercase letter G) - Character,Z#1#1#0#0#10#35#11#G#0#6*%£
8558,H_(uppercase),WHITE,(Latin English uppercase letter H) - Character,Z#1#1#0#0#10#35#11#H#0#6*%£
8559,I_(uppercase),WHITE,(Latin English uppercase letter I) - Character,Z#1#1#0#0#10#35#11#I#0#6*%£
8560,J_(uppercase),WHITE,(Latin English uppercase letter J) - Character,Z#1#1#0#0#10#35#11#J#0#6*%£
8561,K_(uppercase),WHITE,(Latin English uppercase letter K) - Character,Z#1#1#0#0#10#35#11#K#0#6*%£
8562,L_(uppercase),WHITE,(Latin English uppercase letter L) - Character,Z#1#1#0#0#10#35#11#L#0#6*%£
8563,M_(uppercase),WHITE,(Latin English uppercase letter M) - Character,Z#1#1#0#0#10#35#11#M#0#6*%£
8564,N_(uppercase),WHITE,(Latin English uppercase letter N) - Character,Z#1#1#0#0#10#35#11#N#0#6*%£
8565,O_(uppercase),WHITE,(Latin English uppercase letter O) - Character,Z#1#1#0#0#10#35#11#O#0#6*%£
8566,P_(uppercase),WHITE,(Latin English uppercase letter P) - Character,Z#1#1#0#0#10#35#11#P#0#6*%£
8567,Q_(uppercase),WHITE,(Latin English uppercase letter Q) - Character,Z#1#1#0#0#10#35#11#Q#0#6*%£
8568,R_(uppercase),WHITE,(Latin English uppercase letter R) - Character,Z#1#1#0#0#10#35#11#R#0#6*%£
8569,S_(uppercase),WHITE,(Latin English uppercase letter S) - Character,Z#1#1#0#0#10#35#11#S#0#6*%£
8570,T_(uppercase),WHITE,(Latin English uppercase letter T) - Character,Z#1#1#0#0#10#35#11#T#0#6*%£
8571,U_(uppercase),WHITE,(Latin English uppercase letter U) - Character,Z#1#1#0#0#10#35#11#U#0#6*%£
8572,V_(uppercase),WHITE,(Latin English uppercase letter V) - Character,Z#1#1#0#0#10#35#11#V#0#6*%£
8573,W_(uppercase),WHITE,(Latin English uppercase letter W) - Character,Z#1#1#0#0#10#35#11#W#0#6*%£
8574,X_(uppercase),WHITE,(Latin English uppercase letter X) - Character,Z#1#1#0#0#10#35#11#X#0#6*%£
8575,Y_(uppercase),WHITE,(Latin English uppercase letter Y) - Character,Z#1#1#0#0#10#35#11#Y#0#6*%£
8576,Z_(uppercase),WHITE,(Latin English uppercase letter Z) - Character,Z#1#1#0#0#10#35#11#Z#0#6*%£
8993,indicator_(action),GRAY,"(action [quarter-sized]: placed above a symbol to create (1) the infinitive form of a verb, and (2) the present tense of a verb) - Character (indicator)",V#5#1#0#0#4#27#5##0#4*%£
8994,indicator_(active),GRAY,(action indicator [modification]: turned on its side and pointing forward: placed above a symbol to emphasize that something is acting on something else. The symbol is logically related to about.) - Character (indicator - modified),V#5#2#0#0#4#27#5##0#4*%£
8995,indicator_(conditional),GRAY,(question mark [quarter-sized]: placed above a symbol to indicate the equivalent of the English present conditional form) - Character (indicator),Y#25#1#0#0#4#29#5##0#4*%£
8996,indicator_(description_after_fact),GRAY,"(description indicator + dot: placed above a symbol to indicate meanings equivalent to an English past participle, usually with an -ed or -en ending) - Character (superimposed - indicator)",V#5#3#0#0#4#27#5##0#4*&Q#1#1#0#3#4#30#5##0#4*%£
8997,indicator_(description_before_fact),GRAY,(dot + description indicator: the dot comes before the indicator: placed above a symbol to produce meanings equivalent to English words ending in -able) - Character (superimposed - indicator),Q#1#1#0#0#4#30#5##0#4*&V#5#3#0#1#4#31#5##0#4*%£
8998,indicator_(description),GRAY,(evaluation [quarter-sized]: placed above a symbol to show that it is describing or evaluating something. This indicator produces meanings equivalent to English adjectives and adverbs.) - Character (indicator),V#5#3#0#0#4#27#5##0#4*%£
8999,indicator_(future_action),GRAY,(future [quarter-sized]: placed above a symbol to indicate future action) - Character (indicator),K#5#4#0#0#4#29#5##0#4*%£
9000,indicator_(future_conditional),GRAY,(conditional indicator + future action indicator: placed above a symbol to indicate the future conditional form) - Character (superimposed - indicator),Y#25#1#0#0#4#29#5##0#4*&K#5#4#0#1#4#31#5##0#4*%£
9001,indicator_(future_passive),GRAY,(passive indicator + future action indicator) - Character (superimposed - indicator),V#5#4#0#0#4#26#5##0#4*&K#5#4#0#2#4#29#5##0#4*%£
9002,indicator_(future_passive_conditional),GRAY,(passive indicator + future conditional indicator) - Character (superimposed - indicator),V#5#4#0#0#4#28#5##0#4*&Y#25#1#0#3#4#31#5##0#4*&K#5#4#0#4#4#33#5##0#4*%£
9003,indicator_(passive),GRAY,(action indicator [modification]: turned on its side and pointing backward: placed above a symbol to emphasize that something is being acted upon. The symbol is logically related to by.) - Character (indicator - modified),V#5#4#0#0#4#27#9##0#4*%£
9004,indicator_(past_action),GRAY,(past [quarter-sized]: placed above a symbol to indicate past action) - Character (indicator),K#5#2#0#0#4#31#5##0#4*%£
9005,indicator_(past_conditional),GRAY,(conditional indicator + past action indicator: placed above a symbol to indicate the past conditional form) - Character (superimposed - indicator),Y#25#1#0#0#4#29#5##0#4*&K#5#2#0#2#4#31#5##0#4*%£
9006,indicator_(past_passive_conditional),GRAY,(passive indicator + past conditional indicator) - Character (superimposed - indicator),V#5#4#0#0#4#28#5##0#4*&Y#25#1#0#3#4#31#5##0#4*&K#5#2#0#5#4#33#5##0#4*%£
9007,indicator_(past_passive),GRAY,(passive indicator + past action indicator) - Character (superimposed - indicator),V#5#4#0#0#4#26#5##0#4*&K#5#2#0#3#4#29#5##0#4*%£
9008,indicator_(present_passive_conditional),GRAY,(passive indicator + conditional indicator) - Character (superimposed - indicator),V#5#4#0#0#4#25#5##0#4*&Y#25#1#0#3#4#28#5##0#4*%£
9009,indicator_(thing),GRAY,(thing [quarter-sized]: placed above a symbol to represent a concrete object) - Character (indicator),L#3#1#0#0#4#27#5##0#4*%£
9010,indicator_(thing_plural),GRAY,(thing indicator + plural indicator) - Character (superimposed - indicator),L#3#1#0#0#4#28#5##0#4*&T#5#1#0#3#4#31#5##0#4*%£
9011,indicator_(plural),GRAY,(multiplication [quarter-sized]: placed above a symbol to indicate a plural form) - Character (indicator),T#5#1#0#0#4#17#5##0#4*%£
12321,"a,an,any",WHITE,"(diagonal line suggests an index finger pointing at something unspecific. The diagonal line has the opposite orientation to the one used in the, this and that.) - Character",W#5#1#0#0#11#20#12##0#4*%£
12322,"ability,capability,capacity,potential",YELLOW,(dot + evaluation: evaluation beforehand of one’s potential to do something) - Character (sequenced),Q#1#1#0#0#12#31#13##0#4*&V#1#3#0#2#8#33#9##0#4*%£
12324,"about,concerning,regarding,in_relation_to,of,on",WHITE,"(relation [half-sized], pointing forward: used to mean on when the symbol refers to time, e.g. on Wednesday) - Character",R#2#2#0#0#10#21#11##0#4*%£
12330,account,YELLOW,(paper [modification] + container: written (financial) record of something held) - Character (superimposed - modified),J#1#3#0#0#12#31#13##0#4*&W#2#1#0#2#8#35#9##0#4*&W#3#2#0#2#8#35#9##0#4*&W#3#2#0#6#8#39#9##0#4*%£
12333,across,WHITE,(pictograph: a vertical line with two horizontal lines [half sized] across it: CKB says this is a small road crossing a main road) - Character,W#2#1#0#0#12#33#13##0#4*&W#2#1#0#0#14#33#15##0#4*&W#3#2#0#2#10#35#11##0#4*%£
12334,"action,act,deed",YELLOW,"(symbol suggests the shape of a volcano cone, which CKB says represents ""one of the primeval actions of our earth"". The Action [full-sized], is used primarily as the source of activity - action [half-sized]) - Character",V#1#1#0#0#8#31#9##0#4*%£
12335,"activity,male_gender_(in_combinations)",YELLOW,(action [half-sized]) (Also used as part of other characters to indicate male gender) - Character,V#2#1#0#0#12#35#13##0#4*%£
12339,"addition,gain",YELLOW,(based upon the international mathematical symbol) - Character,T#1#1#0#0#8#31#9##0#4*%£
12341,"adult,grownup",BLUE,"(flower + big: CKB suggests that an adult is a person reaching ""full flower"") - Character (superimposed)",H#2#1#0#0#8#15#9##0#4*&S#3#1#0#0#12#15#13##0#4*&W#2#3#0#0#8#15#9##0#4*%£
12348,"after,behind",WHITE,(reference line + dot: dot comes after the reference line. This symbol refers to both time and space.) - Character (sequenced),W#4#2#0#0#8#31#9##0#4*&Q#1#1#0#2#12#33#13##0#4*%£
12350,again,WHITE,(dot is repeated: it appears once and then again) - Character (sequenced),Q#1#1#0#0#12#21#13##0#4*&Q#1#1#0#2#12#23#13##0#4*%£
12351,"against,opposed_to",WHITE,(opposition [half-sized]) - Character,R#2#4#0#0#10#27#11##0#4*&R#2#4#0#2#10#29#11##0#4*%£
12352,"ago,then_(past)",WHITE,(past [half-sized]) - Character,K#4#2#0#0#12#13#13##0#4*%£
12354,agreement,YELLOW,(two parallel arrows: to be in harmony) - Character (superimposed),F#1#2#0#0#10#31#11##0#4*&F#1#2#0#0#14#31#13##0#4*%£
12356,"air,atmosphere",YELLOW,(sky + nose: one breathes air from the sky) - Character (superimposed),W#4#1#0#0#8#23#9##0#4*&V#7#4#0#4#8#27#9##0#4*%£
12357,"airplane,aeroplane,plane",YELLOW,(wings + wheel) - Character (superimposed),K#2#2#0#0#8#25#9##0#4*&G#1#1#0#2#12#27#13##0#4*&K#2#1#0#4#8#29#9##0#4*%£
12359,"alcoholic_drink,alcoholic_beverage,liquor",YELLOW,(pictograph: symbol suggests a wine glass) - Character,W#4#1#0#0#16#23#17##0#4*&W#6#1#0#0#8#23#9##0#4*&W#2#2#0#4#12#27#13##0#4*&W#6#2#0#4#8#27#9##0#4*%£
12360,"all,every,everything,total,whole",WHITE,(multitude + enclosure: symbol reminds us that “all” can only refer to some restricted multitude) - Character (superimposed),L#1#1#0#0#8#11#9##0#4*&T#3#1#0#0#8#11#9##0#4*%£
12366,"alphabet,letters_(lowercase)_(Latin_alphabet)",YELLOW,"(a_(lowercase) + b_(lowercase) + c_(lowercase): first three letters of the English alphabet, representing the entire alphabet) - Character (superimposed)",Z#1#1#0#0#10#31#11#a#0#6*&Z#1#1#0#3#10#34#11#b#0#6*&Z#1#1#0#6#10#37#11#c#0#6*%£
12367,although,WHITE,(three arrowheads: one arrowhead moves forward between and beyond two opposing arrowheads) - Character,R#2#4#0#0#6#33#7##0#4*&R#2#4#0#0#14#33#15##0#4*&R#2#2#0#4#10#37#11##0#4*%£
12374,"and,also,plus,too",WHITE,(addition [half-sized] with the crossbar located in the midline) - Character,T#2#1#0#0#10#23#11##0#4*%£
12376,angle,YELLOW,(international mathematical symbol) - Character,W#4#1#0#0#16#33#17##0#4*&W#8#2#0#0#8#33#9##0#4*%£
12378,"animal,beast",YELLOW,(pictograph: symbol suggests a creature with four legs) - Character,V#2#1#0#0#12#19#13##0#4*&W#4#1#0#0#12#19#13##0#4*&V#2#1#0#4#12#23#13##0#4*%£
12379,"animal_(bovine,ovine),bovid,bovine",YELLOW,(animal + horn(s) pictograph) - Character (superimposed),V#2#1#0#0#12#31#13##0#4*&W#4#1#0#0#12#31#13##0#4*&K#1#3#0#4#10#35#11##0#4*&V#2#1#0#4#12#35#13##0#4*%£
12380,"dog,canine_(animal),canid",YELLOW,(animal + curved line (representing a tail): the waving tail being characteristic of a dog) - Character (superimposed),K#1#4#0#0#8#31#9##0#4*&V#2#1#0#2#12#19#13##0#4*&W#4#1#0#2#12#19#13##0#4*&V#2#1#0#6#12#23#13##0#4*%£
12381,"deer,cervine_(animal),cervid",YELLOW,(animal + horn(s) pictograph: horns are raised to signify that males shed their horns annually) - Character (superimposed),V#2#1#0#0#12#31#13##0#4*&W#4#1#0#0#12#31#13##0#4*&K#1#3#0#4#8#35#9##0#4*&V#2#1#0#4#12#35#13##0#4*%£
12383,"cat,feline_(animal),felid",YELLOW,(animal + small curved lines (representing claws): the claws being characteristic of cats) - Character (superimposed),K#7#1#0#0#15#31#16##0#4*&V#2#1#0#0#12#23#13##0#4*&W#4#1#0#0#12#23#13##0#4*&K#7#1#0#4#15#35#16##0#4*&V#2#1#0#4#12#27#13##0#4*&K#7#1#0#8#15#39#16##0#4*%£
12389,animal_(water),YELLOW,"(animal + water [modification, under earthline]) - Character (superimposed - modified)",A#1#2#0#0#17#31#18##0#4*&V#2#1#0#0#12#31#13##0#4*&W#4#1#0#0#12#31#13##0#4*&V#2#1#0#4#12#35#13##0#4*%£
12391,ankle,YELLOW,"(kneeling_(kneeling_person) + pointer, to ankle joint) - Character (superimposed - pointer)",R#2#2#0#0#14#30#15##0#4*&W#2#1#0#3#16#33#17##0#4*&W#2#2#0#3#8#33#9##0#4*&W#6#1#0#3#12#33#13##0#4*%£
12393,"answer,reply",YELLOW,"(question + enclosure [combination]: an answer ""closes"" a question) - Character (superimposed - combined)",L#1#1#0#0#8#31#9##0#4*&Y#24#1#0#3#10#34#11##0#4*%£
12402,"anywhere,anyplace,someplace,somewhere",WHITE,"(any + earth,ground,land: can be interpreted as a combination of any and place) - Character (superimposed)",W#4#1#0#0#16#27#17##0#4*&W#5#1#0#3#11#30#12##0#4*%£
12405,apple,YELLOW,(pictograph of apple with stem) - Character,J#1#3#0#0#12#33#13##0#4*&K#1#1#0#0#10#33#11##0#4*&K#1#1#0#4#10#37#11##0#4*&K#2#1#0#4#8#37#9##0#4*%£
12407,approach,YELLOW,(forward + reference line: advancing arrow approaches the line but does not reach it) - Character,F#1#2#0#0#10#13#11##0#4*&W#4#2#0#10#8#23#9##0#4*%£
12577,arm,YELLOW,(pictograph: symbol suggests an arm bent upward) - Character,W#2#1#0#0#12#25#13##0#4*&W#2#2#0#0#8#25#9##0#4*%£
12578,armchair,YELLOW,(pictograph: symbol suggests a chair with support added for the arm) - Character,W#2#1#0#0#10#31#11##0#4*&W#2#1#0#0#12#31#13##0#4*&W#4#2#0#0#8#31#9##0#4*&W#3#2#0#4#10#35#11##0#4*%£
12580,around,WHITE,(curved line + dot: half circle is around the dot) - Character (superimposed),J#1#2#0#0#8#33#9##0#4*&Q#1#1#0#0#12#33#13##0#4*%£
12591,at,WHITE,(position [half-sized]) - Character (sequenced),R#2#2#0#0#10#31#11##0#4*&Q#1#1#0#4#12#35#13##0#4*%£
12592,atom,YELLOW,(pictograph of an atom with inner nucleus + pointer showing the movement of a circling electron) - Character,H#3#1#0#0#8#33#9##0#4*&H#1#1#0#3#11#36#12##0#4*&R#2#4#0#4#14#37#13##0#4*%£
12596,aunt,BLUE,(sister + parent: the sister of one's father or mother) - Character (superimposed),R#1#1#0#0#8#19#9##0#4*&U#2#1#0#2#12#21#13##0#4*&Y#3#1#0#7#12#36#13##0#4*&R#1#1#0#8#8#27#9##0#4*&S#1#1#0#10#8#29#9##0#4*%£
12600,avocado,YELLOW,(pear + pit) - Character (superimposed),K#4#4#0#0#12#33#13##0#4*&K#6#4#0#1#8#34#9##0#4*&W#2#1#0#1#16#34#15##0#4*&K#5#4#0#2#13#35#14##0#4*&K#2#1#0#3#4#36#5##0#4*&K#5#2#0#3#13#36#14##0#4*&K#6#2#0#3#8#36#9##0#4*&K#4#2#0#5#12#38#13##0#4*%£
12602,"away,at_a_distance,off_(OLD)",WHITE,"(reference line [half-sized] + arrowhead: full square between reference line and arrowhead emphasizes distance. This symbol is a simplified form of departure.) - Character (sequenced) SUPERSEDED SYNONYM See away,at_a_distance,off 25522",W#2#2#0#0#10#29#11##0#4*&R#2#2#0#8#10#37#11##0#4*%£
12603,"baby,infant",BLUE,"(child [modification, turned on its side]: child too young to stand) - Character",H#2#1#0#0#12#15#13##0#4*&S#3#4#0#4#12#19#13##0#4*&W#2#2#0#4#12#19#13##0#4*%£
12604,baby_boy,BLUE,"(boy [modification, turned on its side]: boy too young to stand) - Character",H#2#1#0#0#12#29#13##0#4*&V#2#4#0#4#12#33#13##0#4*%£
12607,baby_girl,BLUE,"(girl [modification, turned on its side]: girl too young to stand) - Character",H#2#1#0#0#12#33#13##0#4*&U#2#4#0#4#12#37#13##0#4*%£
12609,back_(body),YELLOW,"(standing person + pointer, to back) - Character (superimposed - pointer)",R#2#2#0#0#8#26#9##0#4*&W#2#1#0#3#16#29#17##0#4*&W#4#2#0#3#8#29#9##0#4*%£
12610,"back_and_forth,backward_and_forward,to_and_fro,alternation",WHITE,"(backward [modification, on earthline] + forward) - Character (superimposed - modified)",F#1#2#0#0#10#27#11##0#4*&F#1#4#0#0#14#27#15##0#4*%£
12613,"backward,back",WHITE,"(arrow, pointing backward) - Character",F#1#4#0#0#10#33#11##0#4*%£
12616,"badge,shield",YELLOW,(pictograph: symbol is shaped like a badge) - Character,J#1#3#0#0#12#29#13##0#4*&W#2#2#0#0#8#29#9##0#4*&W#4#1#0#0#8#29#9##0#4*&W#2#2#0#8#8#37#9##0#4*%£
12618,"baggage,bag,luggage,suitcase",YELLOW,(pictograph) - Character,O#1#3#0#0#12#15#13##0#4*&W#4#1#0#0#12#15#13##0#4*&K#1#1#0#2#10#17#11##0#4*%£
12621,ball,YELLOW,(pictograph: symbol suggests a small stitched ball) - Character,H#2#1#0#0#12#15#13##0#4*&W#2#1#0#0#14#15#15##0#4*%£
12622,balloon,YELLOW,(pictograph) - Character,H#3#1#0#0#4#33#5##0#4*&K#2#3#0#0#12#33#13##0#4*%£
12623,banana,YELLOW,(pictograph with stem: crescent-shaped fruit suggesting a banana) - Character,J#1#2#0#0#8#37#15##0#4*&K#2#1#0#0#4#37#5##0#4*&K#3#2#0#0#8#37#9##0#4*%£
12631,barrier_(contraceptive),YELLOW,(sperm + vertical line: combination of sperm and stop (to)) - Character (superimposed - combined),A#1#4#0#0#11#19#12##0#4*&K#4#1#0#8#11#27#12##0#4*&K#4#3#0#8#12#27#13##0#4*&W#4#2#0#12#8#31#9##0#4*%£
12636,bat_(animal),YELLOW,(animal + wing(s): flying animal) - Character (superimposed),K#2#2#0#0#8#33#9##0#4*&V#2#1#0#0#12#33#13##0#4*&W#4#1#0#0#12#33#13##0#4*&K#2#1#0#4#8#37#9##0#4*&V#2#1#0#4#12#37#13##0#4*%£
12640,"beach,bank,coast,shore",YELLOW,(earth + water_(ground_level): place where land touches water) - Character (superimposed),W#4#1#0#0#16#23#17##0#4*&A#1#2#0#8#15#31#16##0#4*%£
12642,bean,YELLOW,(pictograph: cross section of bean in a pod) - Character,K#3#4#0#0#8#32#9##0#4*&H#2#1#0#1#10#33#11##0#4*&K#3#2#0#4#8#36#9##0#4*%£
12644,beard,YELLOW,"(face_with_beard + pointer, to beard) - Character (superimposed - pointer)",H#3#1#0#0#8#33#9##0#4*&K#5#4#0#1#16#35#17##0#4*&Q#1#1#0#2#10#35#11##0#4*&W#2#1#0#2#14#35#15##0#4*&K#5#4#0#3#16#37#17##0#4*&W#2#2#0#4#10#37#11##0#4*&K#5#4#0#5#16#39#17##0#4*&Q#1#1#0#6#10#39#11##0#4*&R#2#4#0#7#16#40#15##0#4*%£
12649,bed,YELLOW,(pictograph: symbol suggests a bed with a pillow at the head) - Character,W#4#1#0#0#12#23#13##0#4*&W#4#2#0#0#8#23#9##0#4*&W#6#2#0#4#8#27#9##0#4*&W#4#2#0#8#8#31#9##0#4*%£
12655,beetle,YELLOW,(insect + pictograph of wing cases [hard shell]) - Character (superimposed),V#2#1#0#0#12#25#13##0#4*&J#1#1#0#2#8#27#9##0#4*&W#4#1#0#2#12#27#13##0#4*&V#2#1#0#4#12#29#13##0#4*&V#2#1#0#8#12#33#13##0#4*%£
12656,"before,in_front_of,prior_to",WHITE,(dot + reference line: the dot comes before the reference line. This symbol refers to both time and space.) - Character (sequenced),Q#1#1#0#0#12#27#13##0#4*&W#4#2#0#2#8#29#9##0#4*%£
12658,"beginning,start",YELLOW,(reference line + forward: advancing arrow begins at the reference line) - Character (superimposed),F#1#2#0#0#10#23#11##0#4*&W#4#2#0#0#8#23#9##0#4*%£
12663,"belongs_to,of_(possessive)",GRAY,"(addition [half-sized, modification, with the crossbar located on the earthline]) - Character - (modified)",T#2#1#0#0#14#17#15##0#4*%£
12666,berry,YELLOW,"(pictograph: symbol suggests a berry with a curved stem, in the position it would have if protruding from a bush) - Character",H#2#1#0#0#10#31#11##0#4*&K#2#2#0#4#12#35#13##0#4*%£
12669,between,WHITE,"(two reference lines + dot, between them) - Character (sequenced)",W#4#2#0#0#8#27#9##0#4*&Q#1#1#0#2#12#29#13##0#4*&W#4#2#0#4#8#31#9##0#4*%£
12837,bird,YELLOW,(pictograph: symbol suggests the wings and feet of a bird) - Character,K#2#2#0#0#8#7#9##0#28*&V#5#1#0#3#12#10#13##0#28*&K#2#1#0#4#8#11#9##0#28*%£
